type,id,question,answer,condition,
paragraph,ACS_OER_00036,What is the DOI of the paper that explores the use of Tectona grandis leaves for synthesizing carbon nanodots (CNDs) and their incorporation into a bimetallic MOF for enhanced OER activity?,https://doi.org/10.1021/acs.energyfuels.2c00780,1,
paragraph,ACS_OER_00045,"What is the DOI of paper that investigates hollow core-shell particles where the shell component derives from terephthalic acid coordination, studies how the Kirkendall effect relates to structural development, and examines surface wettability changes after heat treatment?",https://doi.org/10.1021/acsami.9b04479,2,
paragraph,ACS_OER_00138,"What is the DOI of the paper that connects the formation of nanostructured materials to soft-templating mechanisms, analyzes crystallinity changes using diffraction techniques, and explores how oxidation state distributions relate to electron transfer kinetics during catalysis?",https://doi.org/10.1021/acssuschemeng.9b01078,2,
paragraph,ACS_OER_00190,What is the DOI of the paper that explores nitrogen and phosphorus-rich carbon frameworks with nickel phosphide for bifunctional water splitting catalysis?,https://doi.org/10.1021/acssuschemeng.1c06514,1,
paragraph,ACS_OER_00190,What is the DOI of the paper that discusses melamine-assisted synthesis approach for anchoring nickel phosphide in dual-element doped carbon matrices for water splitting?,https://doi.org/10.1021/acssuschemeng.1c06514,1,
paragraph,ACS_OER_00948,What is the DOI of the paper that investigates the thickness and stability of nanosheets formed through chronoamperometric treatment at different potentials and durations?,https://doi.org/10.1021/acsanm.0c01137,1,
paragraph,Elsevier_OER_01495,What is the DOI of the paper that develops a core-shell heterostructure by growing Fe(OH)₃ on Co(OH)F/Ni(OH)₂ nanosheets through interfacial hydrolysis?,https://doi.org/10.1016/j.ijhydene.2022.07.252,1,
paragraph,Elsevier_OER_01601,"What is the DOI of the paper that synthesized a NiCo₂O₄ nanostructure supported on reduced graphene oxide through a controlled hydrothermal reaction protocol, exhibiting low onset potential for both HER and OER?",https://doi.org/10.1016/j.apsusc.2018.01.302,1,
paragraph,Elsevier_OER_02375,What is the DOI of the paper that studies copper-doped cobalt oxide electrodes for electrocatalytic oxidation of cyanide in alkaline media?,https://doi.org/10.1016/j.apcatb.2017.01.078,1,
paragraph,Elsevier_OER_02404,What is the DOI of the paper that studies nitrogen-doped carbon dots supported NiFe layered double hydroxide in alkaline medium?,https://doi.org/10.1016/j.fuel.2022.123947,1,
paragraph,Elsevier_OER_03498,What is the DOI of the paper that describes a graphene-templated growth of MoS2-Ni3S2 heterostructures for efficient overall water splitting?,https://doi.org/10.1016/j.colsurfa.2022.130550,1,
paragraph,Elsevier_OER_03743,What is the DOI of the paper that studies the formation of oxyhydroxide catalytic active species during the OER process using Fourier-transformed alternating current voltammetry?,https://doi.org/10.1016/j.cej.2021.132410,1,
paragraph,Elsevier_OER_03743,"What is the DOI of the paper that studies core-shell structured nanoparticles synthesized from DMF solution with multiple metal acetates, which shows both excellent alkaline and seawater electrolysis performance?",https://doi.org/10.1016/j.cej.2021.132410,1,
paragraph,ACS_OER_01223,"What is the DOI of the paper that synthesized Fe0.2NiCo1.8Se4 nanorod arrays on carbon cloth through a hydrothermal method using FeCl3, nickel chloride, cobalt chloride, and sodium selenite as precursors?",https://doi.org/10.1021/acsanm.3c00265,1,
paragraph,Elsevier_OER_05410,"What is the DOI of the paper that uses silver doping to improve conductivity of metal oxides, employs hydrothermal strategy on nickel foam, and evaluates oxygen vacancy effects on catalytic performance?",https://doi.org/10.1016/j.jiec.2022.10.046,2,
paragraph,Elsevier_OER_07975,What is the DOI of the paper that describes a strategy of replacing oxygen evolution reaction with thermodynamically favorable hydrazine oxidation reaction to avoid chlorine evolution?,https://doi.org/10.1016/j.apcatb.2022.121950,1,
paragraph,Elsevier_OER_07976,What is the DOI of the paper that presents a strategy for tuning surface energy density of non-stoichiometric perovskite by creating surface defects through a colloidal template strategy?,https://doi.org/10.1016/j.jpowsour.2020.228748,1,
paragraph,Elsevier_OER_08299,What is the DOI of the paper that details the development of hollow cobalt-borate modified cobalt oxide catalysts derived from zeolitic imidazolate frameworks for electrocatalytic water splitting?,https://doi.org/10.1016/j.electacta.2019.01.005,1,
paragraph,Nature_OER_00157,What is the DOI of the paper that explores how hexadecyltrimethylammonium hydroxide promotes electrocatalytic activity for the oxygen evolution reaction?,https://doi.org/10.1038/s42004-020-00406-w,1,
paragraph,RSC_OER_01748,"What is the DOI of the paper that fabricated tube brush-like Co3S4@NiCo-LDH nanoarrays on Ni foam using a three-step hydrothermal method involving Co(NO3)2·6H2O, Na2S·9H2O, and Ni(NO3)2·6H2O?",https://doi.org/10.1039/D1NJ02093E,1,
paragraph,Nature_OER_00221,What is the DOI of the paper that investigates how partial phosphidation creates a self-supporting MOF-nanoparticle hybrid for efficient urea oxidation and hydrogen evolution reactions?,https://doi.org/10.1038/s41598-021-00776-8,1,
paragraph,RSC_OER_00594,What is the DOI of the paper that investigates hierarchical bimetallic phosphide structures derived from layered precursors for water oxidation?,https://doi.org/10.1039/C7TA10665C,1,
paragraph,RSC_OER_01282,What is the DOI of the paper that demonstrates how annealing temperature controls the crystallinity of cobalt borides and their transformation into catalytically active oxyhydroxides during oxygen evolution?,https://doi.org/10.1039/D1DT03947D,1,
